Bundesland,Männer,Frauen,Insgesamt, Währung
Hamburg,5.588,4.471,5.209,in €
Hessen,5.261,4.450,5.016,in €
Baden-Württemberg,5.137,4.039,4.815,in €
Bayern,5.068,4.153,4.804,in €
Berlin,4.926,4.257,4.662,in €
Nordrhein-Westfalen,4.768,4.021,4.547,in €
Bremen,4.779,3.985,4.538,in €
Deutschland,4.738,3.998,4.514,in €
Rheinland-Pfalz,4.506,3.894,4.328,in €
Niedersachsen,4.418,3.766,4.234,in €
Saarland,4.270,3.666,4.092,in €
Schleswig-Holstein,4.243,3.698,4.084,in €
Sachsen,3.779,3.557,3.711,in €
Brandenburg,3.687,3.678,3.684,in €
Sachsen-Anhalt,3.669,3.582,3.641,in €
Thüringen,3.604,3.421,3.542,in €
Mecklenburg-Vorpommern,3.500,3.432,3.476,in €