Bundesland ,Männer,Frauen, Währung
Baden-Württemberg,3.758,2.983,in €
Bremen,3.602,2.904,in €
Saarland,3.463,2.814,in €
Niedersachsen,3.188,2.633,in €
Bayern,3.481,2.879,in €
Hamburg,3.845,3.187,in €
Rheinland-Pfalz,3.265,2.786,in €
Deutschland,3.301,2.833,in €
Nordrhein-Westfalen,3.395,2.920,in €
Hessen,3.596,3.102,in €
Schleswig-Holstein,3.002,2.643,in €
Thüringen,2.404,2.280,in €
Berlin,3.082,2.971,in €
Sachsen,2.405,2.348,in €
Mecklenburg-Vorpommern,2.293,2.335,in €
Sachsen-Anhalt,2.395,2.439,in €
Brandenburg,2.374,2.501,in €